score,no,method,model,name,fold
0.75,21,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,22,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,23,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,24,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,25,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,26,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,27,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,28,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,29,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,0,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,1,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,2,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,3,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,4,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,5,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,6,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,7,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,8,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,9,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,10,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,11,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,12,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,13,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,14,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,15,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,16,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,17,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,18,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,19,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,20,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,21,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,22,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,23,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,24,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,25,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,26,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,27,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,28,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,29,liltab,xgboost,pittsburg-bridges-TYPE,0
0.9701549541684855,0,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,1,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,2,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,3,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,4,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,5,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,6,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,7,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,8,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,9,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,10,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,11,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,12,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,13,rank,logistic,oocytes_trisopterus_states_5b,0
0.9728284591881275,14,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,15,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,16,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,17,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,18,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,19,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,20,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,21,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,22,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,23,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,24,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,25,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,26,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,27,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,28,rank,logistic,oocytes_trisopterus_states_5b,0
0.9729375818419905,29,rank,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,0,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,1,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,2,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,3,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,4,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,5,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,6,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9713007420340463,7,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9715189873417721,8,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9715189873417721,9,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9715189873417721,10,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9715189873417723,11,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9715189873417723,12,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9715189873417723,13,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9731558271497164,14,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,15,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,16,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,17,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,18,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,19,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,20,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,21,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,22,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,23,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,24,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,25,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,26,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,27,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,28,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9732103884766479,29,baseline,logistic,oocytes_trisopterus_states_5b,0
0.9714644260148407,0,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958534,1,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958534,2,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958534,3,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958534,4,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,5,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,6,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,7,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,8,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,9,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,10,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,11,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,12,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,13,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,14,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,15,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,16,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,17,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,18,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,19,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,20,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,21,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,22,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,23,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,24,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,25,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,26,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,27,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,28,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9732649498035794,29,d2v,logistic,oocytes_trisopterus_states_5b,0
0.9711370580532519,0,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9711370580532519,1,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9711370580532519,2,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9716281099956351,3,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,4,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,5,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,6,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,7,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,8,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,9,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,10,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,11,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,12,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,13,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,14,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,15,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,16,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,17,liltab,logistic,oocytes_trisopterus_states_5b,0
0.972773897861196,18,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9728284591881275,19,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,20,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,21,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,22,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,23,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,24,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,25,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,26,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,27,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,28,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9730467044958533,29,liltab,logistic,oocytes_trisopterus_states_5b,0
0.9620253164556961,0,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9620253164556961,1,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9708096900916632,2,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9708096900916632,3,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9708096900916632,4,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9708096900916632,5,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,6,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,7,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,8,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,9,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,10,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,11,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,12,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,13,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,14,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,15,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,16,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,17,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,18,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,19,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,20,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,21,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,22,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,23,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,24,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,25,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,26,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,27,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,28,rank,xgboost,oocytes_trisopterus_states_5b,0
0.9728284591881274,29,rank,xgboost,oocytes_trisopterus_states_5b,0
0.5,0,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,1,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,2,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,3,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,4,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,5,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,6,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,7,baseline,xgboost,oocytes_trisopterus_states_5b,0
0.9727738978611961,8,baseline,xgboost,oocytes_trisopterus_states_5b,0
